                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96752,                  2.484,                 1.3736,                0.19962,                 0.4634,                0.23204,                  0.138,                 1.6048,                 15.417,                 2.6645,             0.00025005,             0.00025005,             0.00025005
                      2,                  1.203,                  1.752,                 1.4737,                0.00796,                0.31548,                0.00614,                0.00297,                 2.2721,                    inf,                  6.794,             0.00051165,             0.00051165,             0.00051165
                      3,                 1.2816,                 1.5925,                 1.5483,                0.00027,                0.01866,                0.00014,                  4e-05,                 3.2374,                    inf,                 93.292,             0.00076798,             0.00076798,             0.00076798
                      4,                 1.3945,                 1.5783,                  1.641,                0.00549,                0.14925,                0.00357,                0.00119,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                      5,                 1.4562,                 1.6292,                 1.6819,                0.00549,                0.14925,                0.00357,                0.00119,                    nan,                    nan,                    nan,              0.0012648,              0.0012648,              0.0012648
                      6,                   1.45,                    1.6,                  1.684,                0.01359,                 0.1791,                0.00774,                0.00237,                 3.4757,                    inf,                 132.92,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.4507,                 1.7073,                 1.6851,                 0.0977,                0.46811,                0.06042,                0.02781,                 2.3195,                    inf,                  14.25,               0.001568,               0.001568,               0.001568
                      8,                 1.4002,                 1.5457,                 1.6563,                0.28323,                0.27271,                 0.1591,                0.05126,                 2.5826,                 9.1286,                  4.208,               0.001568,               0.001568,               0.001568
                      9,                 1.3437,                   1.46,                 1.6537,                0.38646,                0.38993,                 0.2385,                0.10706,                  2.105,                 10.905,                 3.3905,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3138,                 1.3381,                 1.5942,                0.45737,                0.51857,                0.46171,                0.22019,                 1.9285,                 5.6288,                 3.2075,               0.001535,               0.001535,               0.001535
                     11,                 1.2327,                 1.3044,                 1.5415,                0.54779,                0.52612,                0.49097,                0.27891,                 1.6748,                 3.9657,                 2.5954,              0.0015185,              0.0015185,              0.0015185
